            VLM1 -  -10.0°-60.00m/s                VLM1 -   -9.0°-60.00m/s                VLM1 -   -8.0°-60.00m/s                VLM1 -   -7.0°-60.00m/s                VLM1 -   -6.0°-60.00m/s                VLM1 -   -5.0°-60.00m/s                VLM1 -   -4.0°-60.00m/s                VLM1 -   -3.0°-60.00m/s                VLM1 -   -2.0°-60.00m/s                VLM1 -   -1.0°-60.00m/s                VLM1 -    0.0°-60.00m/s                VLM1 -    1.0°-60.00m/s                VLM1 -    2.0°-60.00m/s                VLM1 -    3.0°-60.00m/s                VLM1 -    4.0°-60.00m/s                VLM1 -    5.0°-60.00m/s                VLM1 -    6.0°-60.00m/s                VLM1 -    7.0°-60.00m/s                VLM1 -    8.0°-60.00m/s                VLM1 -    9.0°-60.00m/s                VLM1 -   10.0°-60.00m/s                VLM1 -   11.0°-60.00m/s                VLM1 -   12.0°-60.00m/s                VLM1 -   13.0°-60.00m/s                VLM1 -   14.0°-60.00m/s                VLM1 -   15.0°-60.00m/s    
    -5.459792        -0.2282921      -5.459792        -0.2287112      -5.459792        -0.2290977      -5.459792        -0.2294509      -5.459792        -0.2297705      -5.459792         -0.230056      -5.459792        -0.2303071      -5.459792        -0.2305235      -5.459792         -0.230705      -5.459792        -0.2308513      -5.459792        -0.2309622      -5.459792        -0.2310376      -5.459792        -0.2310774      -5.459792        -0.2310816      -5.459792        -0.2310502      -5.459792        -0.2309832      -5.459792        -0.2308806      -5.459792        -0.2307426      -5.459792        -0.2305695      -5.459792        -0.2303613      -5.459792        -0.2301183      -5.459792        -0.2298409      -5.459792        -0.2295293      -5.459792         -0.229184      -5.459792        -0.2288053      -5.459792        -0.2283938  
    -4.908808        -0.2282436      -4.908808        -0.2286777      -4.908808        -0.2290792      -4.908808        -0.2294476      -4.908808        -0.2297826      -4.908808        -0.2300836      -4.908808        -0.2303504      -4.908808        -0.2305826      -4.908808        -0.2307798      -4.908808         -0.230942      -4.908808        -0.2310688      -4.908808        -0.2311602      -4.908808        -0.2312159      -4.908808         -0.231236      -4.908808        -0.2312205      -4.908808        -0.2311692      -4.908808        -0.2310824      -4.908808          -0.23096      -4.908808        -0.2308024      -4.908808        -0.2306095      -4.908808        -0.2303818      -4.908808        -0.2301194      -4.908808        -0.2298227      -4.908808         -0.229492      -4.908808        -0.2291278      -4.908808        -0.2287304  
    -4.324291        -0.2282194      -4.324291        -0.2286593      -4.324291        -0.2290663      -4.324291        -0.2294399      -4.324291        -0.2297797      -4.324291        -0.2300851      -4.324291        -0.2303559      -4.324291        -0.2305917      -4.324291        -0.2307922      -4.324291        -0.2309571      -4.324291        -0.2310864      -4.324291        -0.2311797      -4.324291        -0.2312371      -4.324291        -0.2312584      -4.324291        -0.2312436      -4.324291        -0.2311927      -4.324291        -0.2311058      -4.324291         -0.230983      -4.324291        -0.2308245      -4.324291        -0.2306304      -4.324291        -0.2304009      -4.324291        -0.2301364      -4.324291        -0.2298372      -4.324291        -0.2295036      -4.324291        -0.2291361      -4.324291         -0.228735  
    -3.710235        -0.2282133      -3.710235        -0.2286517      -3.710235        -0.2290563      -3.710235        -0.2294268      -3.710235        -0.2297625      -3.710235         -0.230063      -3.710235        -0.2303282      -3.710235        -0.2305575      -3.710235        -0.2307507      -3.710235        -0.2309076      -3.710235         -0.231028      -3.710235        -0.2311118      -3.710235        -0.2311588      -3.710235         -0.231169      -3.710235        -0.2311424      -3.710235        -0.2310789      -3.710235        -0.2309788      -3.710235        -0.2308421      -3.710235        -0.2306689      -3.710235        -0.2304595      -3.710235        -0.2302142      -3.710235        -0.2299332      -3.710235        -0.2296169      -3.710235        -0.2292657      -3.710235        -0.2288799      -3.710235        -0.2284601  
    -3.070834        -0.2282167      -3.070834        -0.2286465      -3.070834        -0.2290413      -3.070834        -0.2294006      -3.070834        -0.2297239      -3.070834         -0.230011      -3.070834        -0.2302613      -3.070834        -0.2304746      -3.070834        -0.2306507      -3.070834        -0.2307894      -3.070834        -0.2308904      -3.070834        -0.2309537      -3.070834        -0.2309791      -3.070834        -0.2309666      -3.070834        -0.2309163      -3.070834        -0.2308283      -3.070834        -0.2307025      -3.070834        -0.2305392      -3.070834        -0.2303386      -3.070834        -0.2301009      -3.070834        -0.2298265      -3.070834        -0.2295155      -3.070834        -0.2291685      -3.070834        -0.2287858      -3.070834        -0.2283679      -3.070834        -0.2279154  
    -2.410457        -0.2282073      -2.410457        -0.2286211      -2.410457        -0.2289981      -2.410457        -0.2293379      -2.410457        -0.2296402      -2.410457        -0.2299044      -2.410457        -0.2301305      -2.410457        -0.2303179      -2.410457        -0.2304666      -2.410457        -0.2305764      -2.410457         -0.230647      -2.410457        -0.2306784      -2.410457        -0.2306707      -2.410457        -0.2306237      -2.410457        -0.2305375      -2.410457        -0.2304124      -2.410457        -0.2302483      -2.410457        -0.2300455      -2.410457        -0.2298043      -2.410457        -0.2295249      -2.410457        -0.2292077      -2.410457        -0.2288531      -2.410457        -0.2284615      -2.410457        -0.2280334      -2.410457        -0.2275692      -2.410457        -0.2270697  
    -1.733614        -0.2281146      -1.733614        -0.2285042      -1.733614        -0.2288549      -1.733614        -0.2291663      -1.733614        -0.2294381      -1.733614        -0.2296699      -1.733614        -0.2298615      -1.733614        -0.2300126      -1.733614         -0.230123      -1.733614        -0.2301926      -1.733614        -0.2302213      -1.733614        -0.2302091      -1.733614        -0.2301559      -1.733614        -0.2300619      -1.733614        -0.2299272      -1.733614        -0.2297519      -1.733614        -0.2295363      -1.733614        -0.2292806      -1.733614         -0.228985      -1.733614        -0.2286501      -1.733614        -0.2282761      -1.733614        -0.2278636      -1.733614        -0.2274131      -1.733614         -0.226925      -1.733614           -0.2264      -1.733614        -0.2258387  
    -1.044928        -0.2276981      -1.044928        -0.2280569      -1.044928        -0.2283744      -1.044928        -0.2286502      -1.044928         -0.228884      -1.044928        -0.2290754      -1.044928        -0.2292243      -1.044928        -0.2293304      -1.044928        -0.2293937      -1.044928        -0.2294141      -1.044928        -0.2293915      -1.044928        -0.2293259      -1.044928        -0.2292175      -1.044928        -0.2290663      -1.044928        -0.2288727      -1.044928        -0.2286367      -1.044928        -0.2283587      -1.044928         -0.228039      -1.044928         -0.227678      -1.044928        -0.2272762      -1.044928         -0.226834      -1.044928         -0.226352      -1.044928        -0.2258307      -1.044928        -0.2252709      -1.044928        -0.2246731      -1.044928        -0.2240381  
   -0.3491042        -0.2260365     -0.3491042        -0.2263721     -0.3491042        -0.2266641     -0.3491042        -0.2269121     -0.3491042        -0.2271159     -0.3491042        -0.2272753     -0.3491042        -0.2273899     -0.3491042        -0.2274597     -0.3491042        -0.2274846     -0.3491042        -0.2274646     -0.3491042        -0.2273996     -0.3491042        -0.2272898     -0.3491042        -0.2271353     -0.3491042        -0.2269363     -0.3491042         -0.226693     -0.3491042        -0.2264057     -0.3491042        -0.2260748     -0.3491042        -0.2257007     -0.3491042        -0.2252838     -0.3491042        -0.2248247     -0.3491042        -0.2243239     -0.3491042        -0.2237819     -0.3491042        -0.2231996     -0.3491042        -0.2225775     -0.3491042        -0.2219164     -0.3491042        -0.2212172  
    0.3491042        -0.2260365      0.3491042        -0.2263721      0.3491042        -0.2266641      0.3491042        -0.2269121      0.3491042        -0.2271159      0.3491042        -0.2272753      0.3491042        -0.2273899      0.3491042        -0.2274597      0.3491042        -0.2274846      0.3491042        -0.2274646      0.3491042        -0.2273996      0.3491042        -0.2272898      0.3491042        -0.2271353      0.3491042        -0.2269363      0.3491042         -0.226693      0.3491042        -0.2264057      0.3491042        -0.2260748      0.3491042        -0.2257007      0.3491042        -0.2252838      0.3491042        -0.2248247      0.3491042        -0.2243239      0.3491042        -0.2237819      0.3491042        -0.2231996      0.3491042        -0.2225775      0.3491042        -0.2219164      0.3491042        -0.2212172  
