            VLM1 -  -10.0°-60.00m/s                VLM1 -   -9.0°-60.00m/s                VLM1 -   -8.0°-60.00m/s                VLM1 -   -7.0°-60.00m/s                VLM1 -   -6.0°-60.00m/s                VLM1 -   -5.0°-60.00m/s                VLM1 -   -4.0°-60.00m/s                VLM1 -   -3.0°-60.00m/s                VLM1 -   -2.0°-60.00m/s                VLM1 -   -1.0°-60.00m/s                VLM1 -    0.0°-60.00m/s                VLM1 -    1.0°-60.00m/s                VLM1 -    2.0°-60.00m/s                VLM1 -    3.0°-60.00m/s                VLM1 -    4.0°-60.00m/s                VLM1 -    5.0°-60.00m/s                VLM1 -    6.0°-60.00m/s                VLM1 -    7.0°-60.00m/s                VLM1 -    8.0°-60.00m/s                VLM1 -    9.0°-60.00m/s                VLM1 -   10.0°-60.00m/s                VLM1 -   11.0°-60.00m/s                VLM1 -   12.0°-60.00m/s                VLM1 -   13.0°-60.00m/s                VLM1 -   14.0°-60.00m/s                VLM1 -   15.0°-60.00m/s    
    -5.459792        -0.1496594      -5.459792        -0.1884573      -5.459792        -0.2278192      -5.459792        -0.2668185      -5.459792        -0.3059119      -5.459792        -0.3450517      -5.459792        -0.3841902      -5.459792        -0.4232796      -5.459792        -0.4622549      -5.459792        -0.5010998      -5.459792         -0.539772      -5.459792        -0.5782233      -5.459792        -0.6164093      -5.459792        -0.6542883      -5.459792        -0.6918179      -5.459792        -0.7289565      -5.459792        -0.7656619      -5.459792        -0.8018881      -5.459792        -0.8375975      -5.459792        -0.8727552      -5.459792        -0.9073245      -5.459792        -0.9412523      -5.459792        -0.9744919      -5.459792         -1.007033      -5.459792         -1.038914      -5.459792         -1.070298  
    -4.908808        -0.1548469      -4.908808        -0.1912529      -4.908808        -0.2280132      -4.908808        -0.2647235      -4.908808        -0.3015214      -4.908808        -0.3383619      -4.908808           -0.3752      -4.908808         -0.411991      -4.908808        -0.4486739      -4.908808        -0.4852325      -4.908808         -0.521627      -4.908808        -0.5578118      -4.908808        -0.5937457      -4.908808        -0.6293888      -4.908808        -0.6647015      -4.908808        -0.6996453      -4.908808        -0.7341789      -4.908808        -0.7682604      -4.908808        -0.8018525      -4.908808        -0.8349246      -4.908808        -0.8674394      -4.908808        -0.8993423      -4.908808        -0.9305927      -4.908808        -0.9611863      -4.908808        -0.9911323      -4.908808         -1.020533  
    -4.324291        -0.1601431      -4.324291        -0.1941794      -4.324291        -0.2284087      -4.324291        -0.2628172      -4.324291        -0.2973061      -4.324291        -0.3318333      -4.324291        -0.3663569      -4.324291        -0.4008346      -4.324291        -0.4352105      -4.324291        -0.4694672      -4.324291        -0.5035677      -4.324291        -0.5374696      -4.324291        -0.5711337      -4.324291         -0.604523      -4.324291        -0.6376003      -4.324291        -0.6703294      -4.324291        -0.7026722      -4.324291        -0.7345887      -4.324291        -0.7660436      -4.324291        -0.7970077      -4.324291        -0.8274454      -4.324291        -0.8573036      -4.324291        -0.8865438      -4.324291        -0.9151666      -4.324291        -0.9431656      -4.324291        -0.9706065  
    -3.710235        -0.1651763      -3.710235        -0.1969881      -3.710235        -0.2289757      -3.710235        -0.2611213      -3.710235        -0.2933408      -3.710235        -0.3255946      -3.710235        -0.3578436      -3.710235        -0.3900484      -3.710235         -0.422159      -3.710235        -0.4541544      -3.710235         -0.486001      -3.710235          -0.51766      -3.710235         -0.549093      -3.710235        -0.5802658      -3.710235         -0.611146      -3.710235        -0.6416939      -3.710235        -0.6718812      -3.710235        -0.7016662      -3.710235        -0.7310193      -3.710235        -0.7599088      -3.710235        -0.7882943      -3.710235        -0.8161393      -3.710235        -0.8434074      -3.710235        -0.8700995      -3.710235        -0.8961686      -3.710235        -0.9219566  
    -3.070834        -0.1701871      -3.070834        -0.1998471      -3.070834        -0.2296683      -3.070834        -0.2596279      -3.070834        -0.2896536      -3.070834        -0.3197088      -3.070834        -0.3497568      -3.070834        -0.3797611      -3.070834        -0.4096759      -3.070834        -0.4394804      -3.070834         -0.469143      -3.070834        -0.4986261      -3.070834        -0.5278963      -3.070834        -0.5569202      -3.070834        -0.5856626      -3.070834        -0.6140978      -3.070834        -0.6421915      -3.070834        -0.6699065      -3.070834        -0.6972094      -3.070834        -0.7240725      -3.070834        -0.7504844      -3.070834        -0.7763774      -3.070834        -0.8017262      -3.070834        -0.8265202      -3.070834        -0.8507422      -3.070834        -0.8743675  
    -2.410457        -0.1751477      -2.410457        -0.2027411      -2.410457        -0.2304802      -2.410457        -0.2583401      -2.410457        -0.2862576      -2.410457        -0.3141985      -2.410457        -0.3421287      -2.410457        -0.3700145      -2.410457        -0.3978144      -2.410457        -0.4255068      -2.410457         -0.453063      -2.410457        -0.4804482      -2.410457        -0.5076309      -2.410457        -0.5345802      -2.410457        -0.5612638      -2.410457        -0.5876569      -2.410457        -0.6137275      -2.410457        -0.6394429      -2.410457        -0.6647701      -2.410457        -0.6896827      -2.410457        -0.7141694      -2.410457        -0.7381764      -2.410457        -0.7616722      -2.410457        -0.7846383      -2.410457        -0.8070684      -2.410457        -0.8289353  
    -1.733614         -0.180062      -1.733614        -0.2056655      -1.733614        -0.2313993      -1.733614        -0.2572364      -1.733614        -0.2831223      -1.733614        -0.3090252      -1.733614        -0.3349132      -1.733614        -0.3607556      -1.733614        -0.3865148      -1.733614        -0.4121685      -1.733614        -0.4376911      -1.733614        -0.4630502      -1.733614         -0.488216      -1.733614        -0.5131604      -1.733614        -0.5378541      -1.733614        -0.5622719      -1.733614        -0.5863856      -1.733614        -0.6101662      -1.733614        -0.6335815      -1.733614        -0.6566077      -1.733614        -0.6792267      -1.733614        -0.7014065      -1.733614        -0.7231062      -1.733614        -0.7443022      -1.733614        -0.7649931      -1.733614        -0.7851548  
    -1.044928        -0.1847952      -1.044928        -0.2084693      -1.044928        -0.2322583      -1.044928        -0.2561332      -1.044928        -0.2800476      -1.044928        -0.3039721      -1.044928        -0.3278771      -1.044928        -0.3517346      -1.044928        -0.3755108      -1.044928         -0.399183      -1.044928        -0.4227283      -1.044928        -0.4461168      -1.044928        -0.4693206      -1.044928         -0.492314      -1.044928        -0.5150703      -1.044928        -0.5375646      -1.044928        -0.5597721      -1.044928        -0.5816673      -1.044928        -0.6032197      -1.044928        -0.6244055      -1.044928        -0.6452032      -1.044928        -0.6655996      -1.044928        -0.6855458      -1.044928        -0.7050221      -1.044928        -0.7240127      -1.044928        -0.7425106  
   -0.3491042        -0.1885567     -0.3491042        -0.2103388     -0.3491042        -0.2322208     -0.3491042        -0.2541716     -0.3491042        -0.2761526     -0.3491042        -0.2981367     -0.3491042        -0.3200966     -0.3491042        -0.3420069     -0.3491042        -0.3638375     -0.3491042        -0.3855654     -0.3491042        -0.4071705     -0.3491042        -0.4286251     -0.3491042        -0.4499033     -0.3491042        -0.4709818     -0.3491042        -0.4918357     -0.3491042        -0.5124416     -0.3491042        -0.5327785     -0.3491042        -0.5528214     -0.3491042        -0.5725445     -0.3491042        -0.5919224     -0.3491042        -0.6109373     -0.3491042        -0.6295721     -0.3491042        -0.6477995     -0.3491042        -0.6655867     -0.3491042        -0.6829143     -0.3491042         -0.699775  
    0.3491042        -0.1885567      0.3491042        -0.2103388      0.3491042        -0.2322208      0.3491042        -0.2541716      0.3491042        -0.2761526      0.3491042        -0.2981367      0.3491042        -0.3200966      0.3491042        -0.3420069      0.3491042        -0.3638375      0.3491042        -0.3855654      0.3491042        -0.4071705      0.3491042        -0.4286251      0.3491042        -0.4499033      0.3491042        -0.4709818      0.3491042        -0.4918357      0.3491042        -0.5124416      0.3491042        -0.5327785      0.3491042        -0.5528214      0.3491042        -0.5725445      0.3491042        -0.5919224      0.3491042        -0.6109373      0.3491042        -0.6295721      0.3491042        -0.6477995      0.3491042        -0.6655867      0.3491042        -0.6829143      0.3491042         -0.699775  
