            VLM1 -  -10.0°-35.00m/s                VLM1 -   -9.0°-35.00m/s                VLM1 -   -8.0°-35.00m/s                VLM1 -   -7.0°-35.00m/s                VLM1 -   -6.0°-35.00m/s                VLM1 -   -5.0°-35.00m/s                VLM1 -   -4.0°-35.00m/s                VLM1 -   -3.0°-35.00m/s                VLM1 -   -2.0°-35.00m/s                VLM1 -   -1.0°-35.00m/s                VLM1 -    0.0°-35.00m/s                VLM1 -    1.0°-35.00m/s                VLM1 -    2.0°-35.00m/s                VLM1 -    3.0°-35.00m/s                VLM1 -    4.0°-35.00m/s                VLM1 -    5.0°-35.00m/s                VLM1 -    6.0°-35.00m/s                VLM1 -    7.0°-35.00m/s                VLM1 -    8.0°-35.00m/s                VLM1 -    9.0°-35.00m/s                VLM1 -   10.0°-35.00m/s                VLM1 -   11.0°-35.00m/s                VLM1 -   12.0°-35.00m/s                VLM1 -   13.0°-35.00m/s    
    -6.457471         -0.228287      -6.457471        -0.2287074      -6.457471        -0.2290953      -6.457471          -0.22945      -6.457471        -0.2297712      -6.457471        -0.2300585      -6.457471        -0.2303115      -6.457471          -0.23053      -6.457471        -0.2307136      -6.457471        -0.2308622      -6.457471        -0.2309755      -6.457471        -0.2310534      -6.457471        -0.2310958      -6.457471        -0.2311027      -6.457471        -0.2310741      -6.457471          -0.23101      -6.457471        -0.2309104      -6.457471        -0.2307756      -6.457471        -0.2306055      -6.457471        -0.2304006      -6.457471         -0.230161      -6.457471         -0.229887      -6.457471        -0.2295789      -6.457471        -0.2292372  
    -5.805804        -0.2282393      -5.805804        -0.2286743      -5.805804        -0.2290769      -5.805804        -0.2294465      -5.805804        -0.2297827      -5.805804        -0.2300852      -5.805804        -0.2303534      -5.805804        -0.2305872      -5.805804        -0.2307861      -5.805804        -0.2309501      -5.805804        -0.2310788      -5.805804        -0.2311722      -5.805804          -0.23123      -5.805804        -0.2312523      -5.805804         -0.231239      -5.805804        -0.2311901      -5.805804        -0.2311057      -5.805804        -0.2309858      -5.805804        -0.2308307      -5.805804        -0.2306406      -5.805804        -0.2304155      -5.805804        -0.2301559      -5.805804        -0.2298621      -5.805804        -0.2295343  
    -5.114478        -0.2282157      -5.114478        -0.2286563      -5.114478        -0.2290642      -5.114478        -0.2294387      -5.114478        -0.2297794      -5.114478         -0.230086      -5.114478        -0.2303579      -5.114478         -0.230595      -5.114478        -0.2307969      -5.114478        -0.2309633      -5.114478        -0.2310941      -5.114478         -0.231189      -5.114478        -0.2312481      -5.114478        -0.2312712      -5.114478        -0.2312582      -5.114478        -0.2312093      -5.114478        -0.2311244      -5.114478        -0.2310037      -5.114478        -0.2308472      -5.114478        -0.2306553      -5.114478        -0.2304281      -5.114478         -0.230166      -5.114478        -0.2298691      -5.114478        -0.2295379  
    -4.388214        -0.2282101      -4.388214        -0.2286491      -4.388214        -0.2290544      -4.388214        -0.2294255      -4.388214         -0.229762      -4.388214        -0.2300635      -4.388214        -0.2303296      -4.388214          -0.23056      -4.388214        -0.2307543      -4.388214        -0.2309125      -4.388214        -0.2310341      -4.388214        -0.2311192      -4.388214        -0.2311677      -4.388214        -0.2311793      -4.388214        -0.2311542      -4.388214        -0.2310924      -4.388214        -0.2309939      -4.388214        -0.2308589      -4.388214        -0.2306875      -4.388214          -0.23048      -4.388214        -0.2302365      -4.388214        -0.2299575      -4.388214        -0.2296431      -4.388214        -0.2292939  
    -3.631974        -0.2282139      -3.631974        -0.2286442      -3.631974        -0.2290396      -3.631974        -0.2293995      -3.631974        -0.2297235      -3.631974        -0.2300113      -3.631974        -0.2302624      -3.631974        -0.2304767      -3.631974        -0.2306537      -3.631974        -0.2307933      -3.631974        -0.2308954      -3.631974        -0.2309598      -3.631974        -0.2309863      -3.631974        -0.2309751      -3.631974        -0.2309261      -3.631974        -0.2308394      -3.631974         -0.230715      -3.631974        -0.2305532      -3.631974         -0.230354      -3.631974        -0.2301179      -3.631974         -0.229845      -3.631974        -0.2295356      -3.631974        -0.2291903      -3.631974        -0.2288093  
    -2.850925        -0.2282052      -2.850925        -0.2286194      -2.850925        -0.2289968      -2.850925        -0.2293371      -2.850925        -0.2296399      -2.850925        -0.2299049      -2.850925        -0.2301315      -2.850925        -0.2303197      -2.850925        -0.2304692      -2.850925        -0.2305797      -2.850925        -0.2306512      -2.850925        -0.2306836      -2.850925        -0.2306768      -2.850925        -0.2306308      -2.850925        -0.2305457      -2.850925        -0.2304216      -2.850925        -0.2302587      -2.850925        -0.2300571      -2.850925        -0.2298171      -2.850925         -0.229539      -2.850925        -0.2292231      -2.850925        -0.2288698      -2.850925        -0.2284795      -2.850925        -0.2280528  
      -2.0504        -0.2281135        -2.0504        -0.2285033        -2.0504        -0.2288543        -2.0504        -0.2291662        -2.0504        -0.2294384        -2.0504        -0.2296707        -2.0504        -0.2298627        -2.0504        -0.2300144        -2.0504        -0.2301253        -2.0504        -0.2301956        -2.0504        -0.2302249        -2.0504        -0.2302134        -2.0504         -0.230161        -2.0504        -0.2300678        -2.0504        -0.2299339        -2.0504        -0.2297594        -2.0504        -0.2295447        -2.0504        -0.2292899        -2.0504        -0.2289953        -2.0504        -0.2286613        -2.0504        -0.2282884        -2.0504        -0.2278769        -2.0504        -0.2274274        -2.0504        -0.2269404  
     -1.23587        -0.2276979       -1.23587        -0.2280569       -1.23587        -0.2283746       -1.23587        -0.2286506       -1.23587        -0.2288846       -1.23587        -0.2290763       -1.23587        -0.2292255       -1.23587         -0.229332       -1.23587        -0.2293957       -1.23587        -0.2294164       -1.23587        -0.2293942       -1.23587        -0.2293291       -1.23587        -0.2292212       -1.23587        -0.2290706       -1.23587        -0.2288774       -1.23587         -0.228642       -1.23587        -0.2283645       -1.23587        -0.2280455       -1.23587        -0.2276851       -1.23587        -0.2272839       -1.23587        -0.2268424       -1.23587        -0.2263611       -1.23587        -0.2258405       -1.23587        -0.2252814  
   -0.4128967        -0.2260335     -0.4128967        -0.2263691     -0.4128967        -0.2266612     -0.4128967        -0.2269093     -0.4128967        -0.2271133     -0.4128967        -0.2272727     -0.4128967        -0.2273875     -0.4128967        -0.2274574     -0.4128967        -0.2274825     -0.4128967        -0.2274626     -0.4128967        -0.2273979     -0.4128967        -0.2272883     -0.4128967         -0.227134     -0.4128967        -0.2269353     -0.4128967        -0.2266922     -0.4128967        -0.2264053     -0.4128967        -0.2260747     -0.4128967        -0.2257009     -0.4128967        -0.2252843     -0.4128967        -0.2248255     -0.4128967         -0.224325     -0.4128967        -0.2237834     -0.4128967        -0.2232014     -0.4128967        -0.2225797  
    0.4128967        -0.2260335      0.4128967        -0.2263691      0.4128967        -0.2266612      0.4128967        -0.2269093      0.4128967        -0.2271133      0.4128967        -0.2272727      0.4128967        -0.2273875      0.4128967        -0.2274574      0.4128967        -0.2274825      0.4128967        -0.2274626      0.4128967        -0.2273979      0.4128967        -0.2272883      0.4128967         -0.227134      0.4128967        -0.2269353      0.4128967        -0.2266922      0.4128967        -0.2264053      0.4128967        -0.2260747      0.4128967        -0.2257009      0.4128967        -0.2252843      0.4128967        -0.2248255      0.4128967         -0.224325      0.4128967        -0.2237834      0.4128967        -0.2232014      0.4128967        -0.2225797  
