            VLM1 -  -10.0°-60.00m/s                VLM1 -   -9.0°-60.00m/s                VLM1 -   -8.0°-60.00m/s                VLM1 -   -7.0°-60.00m/s                VLM1 -   -6.0°-60.00m/s                VLM1 -   -5.0°-60.00m/s                VLM1 -   -4.0°-60.00m/s                VLM1 -   -3.0°-60.00m/s                VLM1 -   -2.0°-60.00m/s                VLM1 -   -1.0°-60.00m/s                VLM1 -    0.0°-60.00m/s                VLM1 -    1.0°-60.00m/s                VLM1 -    2.0°-60.00m/s                VLM1 -    3.0°-60.00m/s                VLM1 -    4.0°-60.00m/s                VLM1 -    5.0°-60.00m/s                VLM1 -    6.0°-60.00m/s                VLM1 -    7.0°-60.00m/s                VLM1 -    8.0°-60.00m/s                VLM1 -    9.0°-60.00m/s                VLM1 -   10.0°-60.00m/s                VLM1 -   11.0°-60.00m/s                VLM1 -   12.0°-60.00m/s                VLM1 -   13.0°-60.00m/s                VLM1 -   14.0°-60.00m/s                VLM1 -   15.0°-60.00m/s    
    -5.459792        -0.1884258      -5.459792       -0.09507887      -5.459792      -0.001155905      -5.459792        0.09322861      -5.459792         0.1879597      -5.459792         0.2829219      -5.459792         0.3779995      -5.459792         0.4730768      -5.459792         0.5680378      -5.459792         0.6627669      -5.459792         0.7571487      -5.459792         0.8510681      -5.459792         0.9444108      -5.459792          1.037063      -5.459792          1.128912      -5.459792          1.219845      -5.459792          1.309753      -5.459792          1.398525      -5.459792          1.486053      -5.459792          1.572231      -5.459792          1.656953      -5.459792          1.740117      -5.459792          1.821621      -5.459792          1.901366      -5.459792          1.979254      -5.459792          2.055191  
    -4.908808        -0.1881989      -4.908808       -0.09480791      -4.908808     -0.0008407695      -4.908808        0.09358803      -4.908808         0.1883634      -4.908808           0.28337      -4.908808          0.378492      -4.908808         0.4736134      -4.908808         0.5686185      -4.908808         0.6633915      -4.908808         0.7578168      -4.908808         0.8517795      -4.908808         0.9451651      -4.908808           1.03786      -4.908808          1.129751      -4.908808          1.220726      -4.908808          1.310674      -4.908808          1.399486      -4.908808          1.487054      -4.908808          1.573271      -4.908808          1.658031      -4.908808          1.741232      -4.908808          1.822773      -4.908808          1.902553      -4.908808          1.980476      -4.908808          2.056446  
    -4.324291        -0.1865957      -4.324291       -0.09355473      -4.324291      5.972495e-05      -4.324291        0.09413363      -4.324291         0.1885524      -4.324291         0.2832009      -4.324291         0.3779639      -4.324291         0.4727259      -4.324291         0.5673715      -4.324291         0.6617854      -4.324291         0.7558525      -4.324291         0.8494582      -4.324291         0.9424886      -4.324291           1.03483      -4.324291           1.12637      -4.324291          1.216998      -4.324291          1.306602      -4.324291          1.395074      -4.324291          1.482306      -4.324291          1.568191      -4.324291          1.652625      -4.324291          1.735506      -4.324291          1.816731      -4.324291          1.896203      -4.324291          1.973823      -4.324291          2.049499  
    -3.710235          -0.18374      -3.710235       -0.09138721      -3.710235       0.001533968      -3.710235        0.09491033      -3.710235         0.1886281      -3.710235         0.2825732      -3.710235          0.376631      -3.710235          0.470687      -3.710235         0.5646266      -3.710235         0.6583353      -3.710235         0.7516991      -3.710235          0.844604      -3.710235          0.936937      -3.710235          1.028586      -3.710235          1.119438      -3.710235          1.209384      -3.710235          1.298313      -3.710235          1.386117      -3.710235           1.47269      -3.710235          1.557926      -3.710235           1.64172      -3.710235          1.723972      -3.710235           1.80458      -3.710235          1.883446      -3.710235          1.960475      -3.710235          2.035573  
    -3.070834        -0.1796127      -3.070834       -0.08826236      -3.070834        0.00364898      -3.070834         0.0960093      -3.070834         0.1887061      -3.070834         0.2816264      -3.070834          0.374657      -3.070834         0.4676845      -3.070834         0.5605957      -3.070834         0.6532773      -3.070834         0.7456165      -3.070834         0.8375006      -3.070834         0.9288178      -3.070834          1.019457      -3.070834          1.109307      -3.070834          1.198259      -3.070834          1.286205      -3.070834          1.373038      -3.070834           1.45865      -3.070834          1.542939      -3.070834          1.625802      -3.070834          1.707137      -3.070834          1.786846      -3.070834          1.864832      -3.070834          1.940998      -3.070834          2.015254  
    -2.410457        -0.1740506      -2.410457       -0.08402159      -2.410457       0.006558541      -2.410457        0.09757938      -2.410457           0.18893      -2.410457         0.2804992      -2.410457         0.3721754      -2.410457         0.4638468      -2.410457         0.5554017      -2.410457         0.6467287      -2.410457         0.7377165      -2.410457         0.8282542      -2.410457         0.9182315      -2.410457          1.007539      -2.410457          1.096067      -2.410457          1.183709      -2.410457          1.270357      -2.410457          1.355906      -2.410457          1.440252      -2.410457          1.523292      -2.410457          1.604925      -2.410457          1.685051      -2.410457          1.763573      -2.410457          1.840395      -2.410457          1.915423      -2.410457          1.988567  
    -1.733614        -0.1667218      -1.733614       -0.07836798      -1.733614        0.01052415      -1.733614        0.09984634      -1.733614         0.1894898      -1.733614         0.2793452      -1.733614         0.3693032      -1.733614         0.4592541      -1.733614         0.5490883      -1.733614         0.6386965      -1.733614         0.7279694      -1.733614         0.8167982      -1.733614         0.9050748      -1.733614         0.9926915      -1.733614          1.079542      -1.733614           1.16552      -1.733614           1.25052      -1.733614           1.33444      -1.733614          1.417177      -1.733614          1.498631      -1.733614          1.578701      -1.733614          1.657291      -1.733614          1.734304      -1.733614          1.809648      -1.733614          1.883229      -1.733614          1.954959  
    -1.044928        -0.1570892      -1.044928        -0.0708401      -1.044928        0.01593115      -1.044928         0.1031188      -1.044928         0.1906167      -1.044928         0.2783181      -1.044928         0.3661163      -1.044928         0.4539042      -1.044928          0.541575      -1.044928         0.6290218      -1.044928          0.716138      -1.044928         0.8028175      -1.044928         0.8889548      -1.044928         0.9744448      -1.044928          1.059183      -1.044928          1.143067      -1.044928          1.225995      -1.044928          1.307864      -1.044928          1.388576      -1.044928          1.468032      -1.044928          1.546135      -1.044928           1.62279      -1.044928          1.697904      -1.044928          1.771385      -1.044928          1.843143      -1.044928          1.913092  
   -0.3491042         -0.144475     -0.3491042       -0.06091298     -0.3491042        0.02315033     -0.3491042         0.1076125     -0.3491042         0.1923706     -0.3491042         0.2773215     -0.3491042         0.3623615     -0.3491042         0.4473871     -0.3491042         0.5322948     -0.3491042         0.6169809     -0.3491042         0.7013425     -0.3491042         0.7852766     -0.3491042         0.8686811     -0.3491042         0.9514543     -0.3491042          1.033495     -0.3491042          1.114704     -0.3491042          1.194982     -0.3491042          1.274231     -0.3491042          1.352355     -0.3491042          1.429258     -0.3491042          1.504847     -0.3491042           1.57903     -0.3491042          1.651716     -0.3491042          1.722816     -0.3491042          1.792245     -0.3491042          1.859917  
    0.3491042         -0.144475      0.3491042       -0.06091298      0.3491042        0.02315033      0.3491042         0.1076125      0.3491042         0.1923706      0.3491042         0.2773215      0.3491042         0.3623615      0.3491042         0.4473871      0.3491042         0.5322948      0.3491042         0.6169809      0.3491042         0.7013425      0.3491042         0.7852766      0.3491042         0.8686811      0.3491042         0.9514543      0.3491042          1.033495      0.3491042          1.114704      0.3491042          1.194982      0.3491042          1.274231      0.3491042          1.352355      0.3491042          1.429258      0.3491042          1.504847      0.3491042           1.57903      0.3491042          1.651716      0.3491042          1.722816      0.3491042          1.792245      0.3491042          1.859917  
