            VLM1 -  -10.0°-35.00m/s                VLM1 -   -9.0°-35.00m/s                VLM1 -   -8.0°-35.00m/s                VLM1 -   -7.0°-35.00m/s                VLM1 -   -6.0°-35.00m/s                VLM1 -   -5.0°-35.00m/s                VLM1 -   -4.0°-35.00m/s                VLM1 -   -3.0°-35.00m/s                VLM1 -   -2.0°-35.00m/s                VLM1 -   -1.0°-35.00m/s                VLM1 -    0.0°-35.00m/s                VLM1 -    1.0°-35.00m/s                VLM1 -    2.0°-35.00m/s                VLM1 -    3.0°-35.00m/s                VLM1 -    4.0°-35.00m/s                VLM1 -    5.0°-35.00m/s                VLM1 -    6.0°-35.00m/s                VLM1 -    7.0°-35.00m/s                VLM1 -    8.0°-35.00m/s                VLM1 -    9.0°-35.00m/s                VLM1 -   10.0°-35.00m/s                VLM1 -   11.0°-35.00m/s                VLM1 -   12.0°-35.00m/s                VLM1 -   13.0°-35.00m/s    
    -6.457471        -0.1887481      -6.457471       -0.09530029      -6.457471      -0.001275804      -6.457471        0.09321081      -6.457471         0.1880444      -6.457471         0.2831095      -6.457471         0.3782903      -6.457471         0.4734707      -6.457471         0.5685349      -6.457471         0.6633669      -6.457471         0.7578513      -6.457471          0.851873      -6.457471         0.9453174      -6.457471          1.038071      -6.457471           1.13002      -6.457471          1.221053      -6.457471          1.311058      -6.457471          1.399927      -6.457471          1.487551      -6.457471          1.573824      -6.457471          1.658639      -6.457471          1.741894      -6.457471          1.823488      -6.457471           1.90332  
    -5.805804        -0.1884738      -5.805804       -0.09499711      -5.805804     -0.0009436437      -5.805804        0.09357198      -5.805804         0.1884346      -5.805804         0.2835287      -5.805804         0.3787383      -5.805804         0.4739475      -5.805804         0.5690402      -5.805804         0.6639007      -5.805804         0.7584133      -5.805804          0.852463      -5.805804          0.945935      -5.805804          1.038716      -5.805804          1.130692      -5.805804          1.221751      -5.805804          1.311783      -5.805804          1.400678      -5.805804          1.488327      -5.805804          1.574624      -5.805804          1.659464      -5.805804          1.742742      -5.805804          1.824359      -5.805804          1.904214  
    -5.114478         -0.186832      -5.114478       -0.09371808      -5.114478      -3.01497e-05      -5.114478        0.09411765      -5.114478         0.1886106      -5.114478         0.2833336      -5.114478         0.3781712      -5.114478         0.4730079      -5.114478         0.5677282      -5.114478         0.6622166      -5.114478          0.756358      -5.114478         0.8500377      -5.114478         0.9431416      -5.114478          1.035556      -5.114478          1.127169      -5.114478          1.217868      -5.114478          1.307544      -5.114478          1.396086      -5.114478          1.483387      -5.114478          1.569341      -5.114478          1.653842      -5.114478          1.736789      -5.114478          1.818079      -5.114478          1.897614  
    -4.388214        -0.1839439      -4.388214       -0.09152916      -4.388214       0.001454439      -4.388214        0.09489358      -4.388214         0.1886744      -4.388214         0.2826827      -4.388214          0.376804      -4.388214         0.4709234      -4.388214         0.5649264      -4.388214         0.6586985      -4.388214         0.7521254      -4.388214         0.8450932      -4.388214         0.9374887      -4.388214          1.029199      -4.388214          1.120113      -4.388214           1.21012      -4.388214           1.29911      -4.388214          1.386974      -4.388214          1.473606      -4.388214            1.5589      -4.388214          1.642751      -4.388214          1.725059      -4.388214          1.805722      -4.388214          1.884643  
    -3.631974        -0.1797882      -3.631974       -0.08838556      -3.631974       0.003578401      -3.631974        0.09599165      -3.631974         0.1887416      -3.631974         0.2817152      -3.631974         0.3747993      -3.631974         0.4678803      -3.631974          0.560845      -3.631974           0.65358      -3.631974         0.7459724      -3.631974         0.8379096      -3.631974         0.9292795      -3.631974          1.019971      -3.631974          1.109873      -3.631974          1.198877      -3.631974          1.286874      -3.631974          1.373756      -3.631974          1.459419      -3.631974          1.543757      -3.631974          1.626668      -3.631974          1.708051      -3.631974          1.787806      -3.631974          1.865837  
    -2.850925        -0.1741991      -2.850925       -0.08412679      -2.850925       0.006496879      -2.850925        0.09756151      -2.850925         0.1889562      -2.850925         0.2805695      -2.850925         0.3722898      -2.850925         0.4640055      -2.850925         0.5556047      -2.850925         0.6469759      -2.850925         0.7380078      -2.850925         0.8285893      -2.850925         0.9186103      -2.850925          1.007961      -2.850925          1.096532      -2.850925          1.184217      -2.850925          1.270907      -2.850925          1.356498      -2.850925          1.440885      -2.850925          1.523966      -2.850925          1.605639      -2.850925          1.685804      -2.850925          1.764364      -2.850925          1.841224  
      -2.0504        -0.1668416        -2.0504       -0.07845351        -2.0504        0.01047317        -2.0504        0.09983012        -2.0504         0.1895084        -2.0504         0.2793989        -2.0504          0.369392        -2.0504          0.459378        -2.0504         0.5492474        -2.0504         0.6388906        -2.0504         0.7281985        -2.0504         0.8170621        -2.0504         0.9053734        -2.0504         0.9930245        -2.0504          1.079909        -2.0504          1.165921        -2.0504          1.250955        -2.0504          1.334908        -2.0504          1.417678        -2.0504          1.499163        -2.0504          1.579265        -2.0504          1.657886        -2.0504           1.73493        -2.0504          1.810304  
     -1.23587        -0.1571747       -1.23587       -0.07090088       -1.23587        0.01589524       -1.23587         0.1031079       -1.23587         0.1906309       -1.23587         0.2783576       -1.23587          0.366181       -1.23587         0.4539943       -1.23587         0.5416903       -1.23587         0.6291623       -1.23587         0.7163037       -1.23587         0.8030084       -1.23587         0.8891706       -1.23587         0.9746854       -1.23587          1.059449       -1.23587          1.143357       -1.23587          1.226308       -1.23587          1.308201       -1.23587          1.388937       -1.23587          1.468416       -1.23587          1.546542       -1.23587          1.623219       -1.23587          1.698355       -1.23587          1.771858  
   -0.4128967        -0.1445151     -0.4128967       -0.06093991     -0.4128967        0.02313669     -0.4128967         0.1076122     -0.4128967         0.1923838     -0.4128967         0.2773481     -0.4128967         0.3624016     -0.4128967         0.4474407     -0.4128967         0.5323618     -0.4128967         0.6170615     -0.4128967         0.7014365     -0.4128967          0.785384     -0.4128967         0.8688017     -0.4128967         0.9515881     -0.4128967          1.033642     -0.4128967          1.114864     -0.4128967          1.195155     -0.4128967          1.274417     -0.4128967          1.352553     -0.4128967          1.429469     -0.4128967           1.50507     -0.4128967          1.579264     -0.4128967          1.651962     -0.4128967          1.723074  
    0.4128967        -0.1445151      0.4128967       -0.06093991      0.4128967        0.02313669      0.4128967         0.1076122      0.4128967         0.1923838      0.4128967         0.2773481      0.4128967         0.3624016      0.4128967         0.4474407      0.4128967         0.5323618      0.4128967         0.6170615      0.4128967         0.7014365      0.4128967          0.785384      0.4128967         0.8688017      0.4128967         0.9515881      0.4128967          1.033642      0.4128967          1.114864      0.4128967          1.195155      0.4128967          1.274417      0.4128967          1.352553      0.4128967          1.429469      0.4128967           1.50507      0.4128967          1.579264      0.4128967          1.651962      0.4128967          1.723074  
