,W [m],Do [m],Max load [kg]
1,0.127,0.329565,544.310844
2,0.127,0.353695,571.5263862
3,0.1524,0.43561,1065.94207
4,0.1778,0.466725,1156.660544
5,0.1651,0.551815,1256.450865
6,0.2286,0.55626,2041.165665
7,0.2794,0.80264,2857.631931
8,0.381,0.8763,4014.292475
9,0.381,1.06426,5533.826914
10,0.4318,1.127125,7257.47792
